score_contour,level_pair,correlation,mean_abs_latitude_separation,n_longitudes
5.0,1000-850,nan,nan,0
5.0,1000-500,nan,nan,0
5.0,1000-250,nan,nan,0
5.0,850-500,nan,nan,0
5.0,850-250,nan,nan,0
5.0,500-250,nan,nan,0
10.0,1000-850,nan,nan,0
10.0,1000-500,nan,nan,0
10.0,1000-250,nan,nan,0
10.0,850-500,0.9955267477271511,1.941616209525006,16
10.0,850-250,0.9961796193355087,15.186237360910152,16
10.0,500-250,-0.933585525920603,14.825703351249585,77
15.0,1000-850,0.8978791509508971,2.922805106580017,79
15.0,1000-500,nan,nan,0
15.0,1000-250,-0.9735095507270828,4.9726201390653895,79
15.0,850-500,0.8948090936039883,3.1247236588314875,90
15.0,850-250,-0.5646498919910974,13.754039268372354,199
15.0,500-250,0.4877640746086477,16.177048514558166,192
20.0,1000-850,0.9206492621870824,3.463464813242888,134
20.0,1000-500,0.4091835380865991,7.948002334210887,134
20.0,1000-250,-0.8534636793840583,10.433240640257438,134
20.0,850-500,0.07876705725031394,5.050392765952074,301
20.0,850-250,-0.4975686741776495,20.38549479040783,301
20.0,500-250,0.6104002833231116,19.319130286645347,301
25.0,1000-850,0.7457634562229825,5.8407068435587846,230
25.0,1000-500,0.4604391754185828,7.951782118460417,230
25.0,1000-250,-0.37239273347865853,15.70138581603768,230
25.0,850-500,0.6530538360644842,5.785868330157757,301
25.0,850-250,-0.38925943694721354,20.12860812107938,301
25.0,500-250,0.13454097121351322,18.261330265768507,301
30.0,1000-850,0.9360253862629474,4.655537510218373,301
30.0,1000-500,0.5109014876469545,7.756222665322742,301
30.0,1000-250,-0.13196838724622423,14.721943061762621,301
30.0,850-500,0.6821130627398532,7.22963444044888,301
30.0,850-250,0.05244161439338588,17.346774583628385,301
30.0,500-250,0.32535985656238525,14.500650026549993,301
35.0,1000-850,0.9422073778550187,1.6985757823512107,301
35.0,1000-500,0.3754944459321392,7.566483907201914,301
35.0,1000-250,-0.037059435701855346,14.381930962996039,301
35.0,850-500,0.6571647893016902,5.883152086934269,301
35.0,850-250,-0.0021709610891126317,13.80844002102617,301
35.0,500-250,0.16449349555162598,12.732668198608847,301
40.0,1000-850,0.9314775766479665,1.5590540512873632,301
40.0,1000-500,0.4250242850593194,6.049037225122035,301
40.0,1000-250,0.015255427829391918,13.668744684449033,301
40.0,850-500,0.7182665999566017,4.566862359953048,301
40.0,850-250,0.05666493654506004,12.585485846757656,301
40.0,500-250,0.22335058423471538,11.141873204020017,301
45.0,1000-850,0.9355323694465374,1.4990399969295585,301
45.0,1000-500,0.6877246732733225,4.601877977709887,301
45.0,1000-250,0.003205163708214845,12.756327853191177,301
45.0,850-500,0.8930143603557831,3.853559969219581,301
45.0,850-250,0.11211782855983722,12.010331197799255,301
45.0,500-250,0.33143631292216014,9.472448184955779,301
50.0,1000-850,0.9574709213201811,1.2737694743552412,301
50.0,1000-500,0.8096374506551813,3.7740838982212446,301
50.0,1000-250,-0.07171488408607024,11.696757387060325,301
50.0,850-500,0.9290211325694989,3.562807268293089,301
50.0,850-250,0.0456218081258082,11.292930498010758,301
50.0,500-250,0.34609888635327185,7.928789241564247,301
55.0,1000-850,0.9563763335309032,1.1446884838196245,301
55.0,1000-500,0.7712204520703764,3.460717635431961,301
55.0,1000-250,-0.09146280719660349,9.912342295212861,301
55.0,850-500,0.8731564424650187,3.752115207332031,301
55.0,850-250,-0.03179347992495601,10.180652766821975,301
55.0,500-250,0.3937630045942614,6.470667272027217,301
60.0,1000-850,0.8892168129872423,1.6548587617126407,301
60.0,1000-500,0.615635608771611,3.228889199438031,301
60.0,1000-250,-0.08783378071832539,7.863476775306351,301
60.0,850-500,0.699164896074669,4.261213901956491,301
60.0,850-250,-0.10842798903053365,8.94533748611353,301
60.0,500-250,0.4958422566917142,4.684123584157039,301
65.0,1000-850,0.4292812337368316,2.965850657059161,301
65.0,1000-500,0.5407607880990563,2.9800256459895134,301
65.0,1000-250,0.11953221622120061,5.506059471152148,301
65.0,850-500,0.11940708520307579,5.335236395534799,301
65.0,850-250,-0.1801568173158178,7.816457654024969,301
65.0,500-250,0.664384197575656,3.3723860829930916,301
70.0,1000-850,0.4535876463724746,3.482512331939218,301
70.0,1000-500,0.6514248813339513,3.6928958772662464,301
70.0,1000-250,0.1874609949035997,4.559574336023551,301
70.0,850-500,0.11100523533857255,5.441780459125395,301
70.0,850-250,-0.11588135456187255,7.427623332448171,301
70.0,500-250,0.5883428416951131,3.8803833871204954,301
75.0,1000-850,0.4303342974499221,4.824482714181595,301
75.0,1000-500,0.6558794926827143,3.7016662802497438,301
75.0,1000-250,0.23330450716058346,3.4484641165251455,301
75.0,850-500,0.42557392022834906,4.6803538818110395,301
75.0,850-250,-0.17539695226918156,7.321715253452397,301
75.0,500-250,0.5225855521303968,3.7560347701019907,301
80.0,1000-850,-0.6001700600219371,7.4094884994745165,301
80.0,1000-500,0.4791321157096729,4.076061132201526,301
80.0,1000-250,0.4259189855382334,2.345656977088436,301
80.0,850-500,-0.13445129248280044,6.6543598712166965,301
80.0,850-250,0.20978260615280092,6.132186443077117,301
80.0,500-250,0.04057543056223614,4.741177358453934,301
85.0,1000-850,0.610794544039884,3.581532014887069,207
85.0,1000-500,-0.1595534116844417,8.662802550211502,226
85.0,1000-250,0.10111800166713426,5.892339325888345,290
85.0,850-500,-0.4958660314858719,10.716558689707771,154
85.0,850-250,-0.44029492382301105,9.54521278428664,218
85.0,500-250,-0.475095394344865,5.346001757713659,237
90.0,1000-850,nan,nan,0
90.0,1000-500,nan,nan,0
90.0,1000-250,nan,nan,0
90.0,850-500,nan,nan,0
90.0,850-250,nan,15.359928324813685,6
90.0,500-250,-0.533049508543995,6.324941786849931,184
95.0,1000-850,nan,nan,0
95.0,1000-500,nan,nan,0
95.0,1000-250,nan,nan,0
95.0,850-500,nan,nan,0
95.0,850-250,nan,nan,0
95.0,500-250,-0.30300061129126815,6.02078428250081,96
